ecol_01wt,sent
PLFEKH_00975,NP_462515.1
PLFEKH_00980,NP_462514.1
PLFEKH_00985,NP_462513.1
PLFEKH_00990,NP_462512.1
PLFEKH_00995,NP_462511.1
PLFEKH_01000,NP_462510.1
PLFEKH_01005,NP_462509.1
PLFEKH_01015,NP_462507.1
PLFEKH_01020,NP_462504.1
PLFEKH_01025,NP_462720.1
PLFEKH_01085,NP_460521.1
PLFEKH_01145,NP_462498.1
PLFEKH_01150,NP_462497.1
PLFEKH_01155,NP_462495.1
PLFEKH_01160,NP_462494.1
PLFEKH_01165,NP_462493.1
PLFEKH_01180,NP_462491.1
PLFEKH_01195,NP_462489.1
PLFEKH_01220,NP_462488.1
PLFEKH_01225,NP_462487.3
PLFEKH_01230,NP_462486.1
PLFEKH_01255,NP_462485.1
PLFEKH_01285,NP_462484.1
PLFEKH_01290,NP_462483.1
PLFEKH_01295,NP_462482.3
PLFEKH_01300,NP_462481.1
PLFEKH_01305,NP_462480.1
PLFEKH_01310,NP_462479.1
PLFEKH_01315,NP_462477.1
PLFEKH_01320,NP_462476.1
PLFEKH_01325,NP_462475.1
PLFEKH_01330,NP_462474.3
PLFEKH_01335,NP_462473.1
PLFEKH_01340,NP_462472.1
PLFEKH_01345,NP_462471.1
PLFEKH_01350,NP_462470.1
PLFEKH_01355,NP_462469.1
PLFEKH_01360,NP_462468.1
PLFEKH_01365,NP_462466.1
PLFEKH_01370,NP_462465.1
PLFEKH_01375,NP_462464.1
PLFEKH_01380,NP_462463.1
PLFEKH_01385,NP_462462.1
PLFEKH_01390,NP_462461.1
PLFEKH_01395,NP_462458.1
PLFEKH_01405,NP_462456.1
PLFEKH_01415,NP_462454.1
PLFEKH_01420,NP_462453.1
PLFEKH_01425,NP_462452.1
PLFEKH_01460,NP_462447.1
PLFEKH_01470,NP_462446.1
PLFEKH_01475,NP_462445.1
PLFEKH_01480,NP_462444.1
PLFEKH_01485,NP_462443.1
PLFEKH_01490,NP_462442.1
PLFEKH_01500,NP_462440.1
PLFEKH_01510,NP_462439.1
PLFEKH_01515,NP_462438.1
PLFEKH_01520,NP_462437.1
PLFEKH_01525,NP_462436.1
PLFEKH_01530,NP_462435.1
PLFEKH_01540,NP_462428.1
PLFEKH_01545,NP_462427.1
PLFEKH_01550,NP_462426.1
PLFEKH_01560,NP_462424.1
PLFEKH_01565,NP_462422.1
PLFEKH_01570,NP_462421.1
PLFEKH_01575,NP_462418.1
PLFEKH_01580,NP_462417.1
PLFEKH_01585,NP_462416.1
PLFEKH_01595,NP_462414.1
PLFEKH_01600,NP_462413.1
PLFEKH_01605,NP_462412.1
PLFEKH_01615,NP_462410.1
PLFEKH_01620,NP_462409.1
PLFEKH_01625,NP_462408.1
PLFEKH_01630,NP_462407.3
PLFEKH_01635,NP_462406.1
PLFEKH_01640,NP_462405.1
PLFEKH_01645,NP_462404.1
PLFEKH_01650,NP_462403.2
PLFEKH_01655,NP_462402.1
PLFEKH_01660,NP_462401.3
PLFEKH_01665,NP_462400.1
PLFEKH_01670,NP_462399.1
PLFEKH_01675,NP_462398.1
PLFEKH_01680,NP_462397.3
PLFEKH_01685,NP_462396.3
PLFEKH_01690,NP_462395.1
PLFEKH_01695,NP_462394.1
PLFEKH_01700,NP_462393.1
PLFEKH_01705,NP_462392.1
PLFEKH_01710,NP_462391.1
PLFEKH_01715,NP_462390.1
PLFEKH_01720,NP_462389.1
PLFEKH_01725,NP_462388.1
PLFEKH_01730,NP_462387.1
PLFEKH_01740,NP_462385.1
PLFEKH_01745,NP_462384.1
PLFEKH_01770,NP_462451.1
PLFEKH_01790,NP_462503.1
PLFEKH_01795,NP_462501.1
PLFEKH_01805,NP_459564.1
PLFEKH_01810,NP_461299.1
PLFEKH_01815,NP_462383.1
PLFEKH_01820,NP_462380.1
PLFEKH_01825,NP_462379.1
PLFEKH_01830,NP_462378.1
PLFEKH_01835,NP_462377.1
PLFEKH_01840,NP_462376.1
PLFEKH_01845,NP_462375.1
PLFEKH_01850,NP_462374.1
PLFEKH_01855,NP_462373.1
PLFEKH_01860,NP_462372.1
PLFEKH_01870,NP_462371.1
PLFEKH_01875,NP_462370.1
PLFEKH_01880,NP_462369.1
PLFEKH_01885,NP_462368.1
PLFEKH_01890,NP_462367.1
PLFEKH_01900,NP_462365.1
PLFEKH_01905,NP_462363.1
PLFEKH_01910,NP_462362.1
PLFEKH_01915,NP_462361.1
PLFEKH_01920,NP_462360.1
PLFEKH_01925,NP_462359.1
PLFEKH_01930,NP_462358.1
PLFEKH_01935,NP_462357.1
PLFEKH_01940,NP_462356.1
PLFEKH_01945,NP_462355.1
PLFEKH_01950,NP_462354.1
PLFEKH_01955,NP_462353.1
PLFEKH_01960,NP_462352.1
PLFEKH_01965,NP_462351.1
PLFEKH_01970,NP_462350.1
PLFEKH_01985,NP_462348.1
PLFEKH_01990,NP_462347.1
PLFEKH_02065,NP_462345.1
PLFEKH_02070,NP_462344.1
PLFEKH_02075,NP_462343.1
PLFEKH_02080,NP_462342.1
PLFEKH_02085,NP_462341.1
PLFEKH_02090,NP_462340.1
PLFEKH_02095,NP_462339.1
PLFEKH_02100,NP_462338.1
PLFEKH_02105,NP_462337.1
PLFEKH_02110,NP_462336.1
PLFEKH_02115,NP_462335.1
PLFEKH_02120,NP_462334.1
PLFEKH_02125,NP_462333.1
PLFEKH_02130,NP_462332.1
PLFEKH_02135,NP_462331.3
PLFEKH_02140,NP_462330.1
PLFEKH_02145,NP_462329.1
PLFEKH_02150,NP_462328.1
PLFEKH_02155,NP_462327.1
PLFEKH_02160,NP_462326.1
PLFEKH_02165,NP_462325.1
PLFEKH_02170,NP_462324.1
PLFEKH_02175,NP_462323.1
PLFEKH_02180,NP_462322.1
PLFEKH_02185,NP_462321.1
PLFEKH_02190,NP_462320.1
PLFEKH_02195,NP_462319.1
PLFEKH_02200,NP_462318.1
PLFEKH_02205,NP_462317.1
PLFEKH_02210,NP_462316.1
PLFEKH_02220,NP_462314.1
PLFEKH_02225,NP_462313.1
PLFEKH_02230,NP_462312.1
PLFEKH_02235,NP_462311.1
PLFEKH_02240,NP_462310.1
PLFEKH_02245,NP_462309.1
PLFEKH_02250,NP_462308.1
PLFEKH_02255,NP_462307.1
PLFEKH_02260,NP_462306.1
PLFEKH_02265,NP_462305.1
PLFEKH_02270,NP_462304.1
PLFEKH_02275,NP_462303.1
PLFEKH_02345,NP_462302.1
PLFEKH_02355,NP_462301.1
PLFEKH_02360,NP_462300.1
PLFEKH_02365,NP_462299.1
PLFEKH_02370,NP_462297.1
PLFEKH_02375,NP_462296.1
PLFEKH_02380,NP_462295.1
PLFEKH_02385,NP_462294.1
PLFEKH_02390,NP_462293.1
PLFEKH_02395,NP_462292.1
PLFEKH_02400,NP_462291.1
PLFEKH_02405,NP_462290.1
PLFEKH_02410,NP_462289.1
PLFEKH_02415,NP_462286.1
PLFEKH_02420,NP_462285.1
PLFEKH_02425,NP_462284.1
PLFEKH_02430,NP_462283.1
PLFEKH_02435,NP_462282.1
PLFEKH_02440,NP_462281.1
PLFEKH_02445,NP_462280.1
PLFEKH_02450,NP_462279.1
PLFEKH_02470,NP_462278.1
PLFEKH_02475,NP_462277.1
PLFEKH_02480,NP_462276.1
PLFEKH_02485,NP_462275.1
PLFEKH_02490,NP_462274.1
PLFEKH_02495,NP_462273.1
PLFEKH_02500,NP_462271.1
PLFEKH_02505,NP_462270.1
PLFEKH_02510,NP_462269.1
PLFEKH_02515,NP_462259.1
PLFEKH_02520,NP_462258.1
PLFEKH_02525,NP_462257.1
PLFEKH_02530,NP_462256.1
PLFEKH_02535,NP_462255.1
PLFEKH_02540,NP_462254.1
PLFEKH_02545,NP_462252.1
PLFEKH_02550,NP_462251.1
PLFEKH_02560,NP_462250.1
PLFEKH_02565,NP_462249.1
PLFEKH_02570,NP_462248.1
PLFEKH_02575,NP_462247.1
PLFEKH_02580,NP_462246.1
PLFEKH_02585,NP_462245.1
PLFEKH_02590,NP_462242.1
PLFEKH_02615,NP_463428.1
PLFEKH_02620,NP_463429.1
PLFEKH_02630,NP_462241.1
PLFEKH_02635,NP_462240.1
PLFEKH_02640,NP_462239.1
PLFEKH_02645,NP_462238.1
PLFEKH_02665,NP_462237.1
PLFEKH_02670,NP_462236.1
PLFEKH_02675,NP_462235.1
PLFEKH_02680,NP_462234.1
PLFEKH_02685,NP_462233.1
PLFEKH_02690,NP_462232.1
PLFEKH_02695,NP_462231.1
PLFEKH_02700,NP_462230.1
PLFEKH_02705,NP_462229.1
PLFEKH_02710,NP_462228.1
PLFEKH_02715,NP_462227.1
PLFEKH_02720,NP_462226.1
PLFEKH_02725,NP_462225.1
PLFEKH_02730,NP_462224.1
PLFEKH_02735,NP_462223.1
PLFEKH_02740,NP_462222.1
PLFEKH_02745,NP_462221.1
PLFEKH_02750,NP_462220.1
PLFEKH_02755,NP_462219.1
PLFEKH_02760,NP_462218.1
PLFEKH_02765,NP_462217.1
PLFEKH_02770,NP_462216.1
PLFEKH_02775,NP_462215.1
PLFEKH_02780,NP_462214.1
PLFEKH_02785,NP_462213.1
PLFEKH_02795,NP_462212.1
PLFEKH_02800,NP_462211.1
PLFEKH_02805,NP_462210.1
PLFEKH_02810,NP_462209.3
PLFEKH_02815,NP_462208.1
PLFEKH_02820,NP_462207.1
PLFEKH_02825,NP_462206.1
PLFEKH_02830,NP_462205.1
PLFEKH_02835,NP_462204.1
PLFEKH_02850,NP_462202.3
PLFEKH_02860,NP_462201.3
PLFEKH_02865,NP_462200.1
PLFEKH_02870,NP_462199.1
PLFEKH_02880,NP_462198.1
PLFEKH_02885,NP_462197.1
PLFEKH_02890,NP_462196.1
PLFEKH_02900,NP_462195.1
PLFEKH_02905,NP_462194.1
PLFEKH_02915,NP_462193.3
PLFEKH_02925,NP_462189.1
PLFEKH_02930,NP_462188.3
PLFEKH_02935,NP_462187.1
PLFEKH_02940,NP_462186.1
PLFEKH_02945,NP_462185.1
PLFEKH_02950,NP_462184.3
PLFEKH_02955,NP_462183.1
PLFEKH_02960,NP_462182.1
PLFEKH_02965,NP_462181.1
PLFEKH_02975,NP_462180.1
PLFEKH_02980,NP_462179.1
PLFEKH_02985,NP_462178.1
PLFEKH_02990,NP_462177.1
PLFEKH_02995,NP_462176.1
PLFEKH_03005,NP_462539.1
PLFEKH_03010,NP_462540.1
PLFEKH_03030,NP_463396.1
PLFEKH_03035,NP_463395.1
PLFEKH_03060,NP_462670.1
PLFEKH_03065,NP_462170.1
PLFEKH_03095,NP_462162.1
PLFEKH_03100,NP_462161.1
PLFEKH_03105,NP_462160.1
PLFEKH_03130,NP_462158.1
PLFEKH_03135,NP_462157.1
PLFEKH_03140,NP_462156.1
PLFEKH_03145,NP_462155.1
PLFEKH_03155,NP_462154.1
PLFEKH_03160,NP_462153.1
PLFEKH_03165,NP_462152.1
PLFEKH_03175,NP_462150.1
PLFEKH_03180,NP_462149.1
PLFEKH_03195,NP_462147.1
PLFEKH_03200,NP_462146.1
PLFEKH_03205,NP_462145.1
PLFEKH_03210,NP_462144.1
PLFEKH_03215,NP_462143.1
PLFEKH_03220,NP_462142.1
PLFEKH_03225,NP_462141.1
PLFEKH_03230,NP_462140.1
PLFEKH_03245,NP_462049.1
PLFEKH_03250,NP_462052.1
PLFEKH_03265,NP_462139.1
PLFEKH_03270,NP_462138.1
PLFEKH_03275,NP_462137.1
PLFEKH_03280,NP_462136.1
PLFEKH_03285,NP_462135.1
PLFEKH_03290,NP_462134.1
PLFEKH_03295,NP_462911.1
PLFEKH_03300,NP_462910.3
PLFEKH_03305,NP_462133.1
PLFEKH_03355,NP_462132.3
PLFEKH_03360,NP_462131.1
PLFEKH_03365,NP_462129.1
PLFEKH_03370,NP_462128.1
PLFEKH_03380,NP_462127.1
PLFEKH_03385,NP_462126.3
PLFEKH_03390,NP_462125.1
PLFEKH_03395,NP_462124.1
PLFEKH_03400,NP_462123.1
PLFEKH_03420,NP_462265.1
PLFEKH_03430,NP_462122.1
PLFEKH_03440,NP_462120.3
PLFEKH_03450,NP_462119.1
PLFEKH_03455,NP_462118.1
PLFEKH_03460,NP_462117.1
PLFEKH_03465,NP_462116.1
PLFEKH_03470,NP_462115.1
PLFEKH_03495,NP_462114.1
PLFEKH_03500,NP_462113.1
PLFEKH_03505,NP_462112.1
PLFEKH_03515,NP_461944.1
PLFEKH_03545,NP_462110.1
PLFEKH_03550,NP_462105.1
PLFEKH_03555,NP_462104.1
PLFEKH_03560,NP_462103.1
PLFEKH_03565,NP_462102.1
PLFEKH_03570,NP_462101.3
PLFEKH_03575,NP_462100.1
PLFEKH_03580,NP_462099.1
PLFEKH_03585,NP_462098.1
PLFEKH_03590,NP_462097.1
PLFEKH_03595,NP_462096.1
PLFEKH_03600,NP_462095.1
PLFEKH_03605,NP_462094.1
PLFEKH_03610,NP_462093.1
PLFEKH_03615,NP_462092.1
PLFEKH_03620,NP_462091.1
PLFEKH_03640,NP_460705.3
PLFEKH_03645,NP_462089.1
PLFEKH_03650,NP_462088.1
PLFEKH_03655,NP_462087.1
PLFEKH_03660,NP_462083.1
PLFEKH_03675,NP_462080.1
PLFEKH_03685,NP_462079.1
PLFEKH_03690,NP_462078.1
PLFEKH_03695,NP_462077.1
PLFEKH_03700,NP_462076.1
PLFEKH_03705,NP_462074.1
PLFEKH_03710,NP_462073.1
PLFEKH_03725,NP_462068.1
PLFEKH_03730,NP_461347.1
PLFEKH_03750,NP_462066.1
PLFEKH_03755,NP_462065.1
PLFEKH_03760,NP_462064.1
PLFEKH_03765,NP_462063.1
PLFEKH_03770,NP_462062.1
PLFEKH_03775,NP_462061.1
PLFEKH_03780,NP_462060.1
PLFEKH_03785,NP_462059.1
PLFEKH_03790,NP_462058.1
PLFEKH_03800,NP_462055.1
PLFEKH_03805,NP_462054.1
PLFEKH_03920,NP_462031.1
PLFEKH_03930,NP_462030.1
PLFEKH_03935,NP_462029.1
PLFEKH_03940,NP_462028.1
PLFEKH_03945,NP_462027.1
PLFEKH_03950,NP_462026.1
PLFEKH_03955,NP_462025.1
PLFEKH_03960,NP_462024.1
PLFEKH_03965,NP_462023.1
PLFEKH_03970,NP_462022.1
PLFEKH_03975,NP_462021.1
PLFEKH_03985,NP_462020.1
PLFEKH_03990,NP_462019.1
PLFEKH_03995,NP_462018.1
PLFEKH_04000,NP_462017.1
PLFEKH_04005,NP_462016.1
PLFEKH_04010,NP_462015.1
PLFEKH_04015,NP_462013.1
PLFEKH_04020,NP_462012.1
PLFEKH_04025,NP_462011.1
PLFEKH_04030,NP_462010.3
PLFEKH_04035,NP_462009.1
PLFEKH_04040,NP_462008.1
PLFEKH_04045,NP_462007.1
PLFEKH_04050,NP_462006.1
PLFEKH_04055,NP_462002.1
PLFEKH_04060,NP_461994.1
PLFEKH_04065,NP_461993.1
PLFEKH_04070,NP_461992.1
PLFEKH_04085,NP_460502.1
PLFEKH_04105,NP_461986.1
PLFEKH_04110,NP_461985.1
PLFEKH_04115,NP_461984.1
PLFEKH_04125,NP_461983.1
PLFEKH_04130,NP_461982.1
PLFEKH_04135,NP_461981.1
PLFEKH_04145,NP_462033.1
PLFEKH_04165,NP_461980.1
PLFEKH_04175,NP_461979.1
PLFEKH_04180,NP_461978.1
PLFEKH_04195,NP_461977.1
PLFEKH_04205,NP_461976.1
PLFEKH_04210,NP_461975.3
PLFEKH_04215,NP_461974.1
PLFEKH_04220,NP_461973.2
PLFEKH_04225,NP_461972.1
PLFEKH_04235,NP_461971.1
PLFEKH_04240,NP_461970.1
PLFEKH_04245,NP_461969.1
PLFEKH_04260,NP_461966.1
PLFEKH_04265,NP_461965.1
PLFEKH_04275,NP_461964.1
PLFEKH_04280,NP_461963.1
PLFEKH_04285,NP_461962.1
PLFEKH_04290,NP_461961.1
PLFEKH_04295,NP_461960.1
PLFEKH_04300,NP_461959.1
PLFEKH_04305,NP_461958.1
PLFEKH_04310,NP_461957.3
PLFEKH_04320,NP_461955.1
PLFEKH_04400,NP_463326.1
PLFEKH_04415,NP_459977.1
PLFEKH_04445,NP_461954.1
PLFEKH_04505,NP_461807.1
PLFEKH_04525,NP_462657.1
PLFEKH_04530,NP_462658.4
PLFEKH_04540,NP_462655.1
PLFEKH_04545,NP_461939.1
PLFEKH_04555,NP_461935.1
PLFEKH_04565,NP_461933.1
PLFEKH_04570,NP_461932.1
PLFEKH_04575,NP_461931.1
PLFEKH_04580,NP_461930.1
PLFEKH_04585,NP_461928.1
PLFEKH_04600,NP_461927.1
PLFEKH_04605,NP_461926.1
PLFEKH_04610,NP_461925.1
PLFEKH_04615,NP_461924.1
PLFEKH_04620,NP_461923.1
PLFEKH_04625,NP_461922.1
PLFEKH_04635,NP_461921.1
PLFEKH_04640,NP_461920.1
PLFEKH_04645,NP_461919.1
PLFEKH_04650,NP_461918.1
PLFEKH_04655,NP_461917.1
PLFEKH_04660,NP_461916.1
PLFEKH_04665,NP_461915.1
PLFEKH_04670,NP_461914.1
PLFEKH_04675,NP_461913.2
PLFEKH_04680,NP_461912.1
PLFEKH_04685,NP_461911.1
PLFEKH_04690,NP_461910.1
PLFEKH_04695,NP_461909.1
PLFEKH_04700,NP_461908.1
PLFEKH_04720,NP_461907.1
PLFEKH_04730,NP_461906.1
PLFEKH_04735,NP_461904.1
PLFEKH_04740,NP_461903.1
PLFEKH_04745,NP_461902.1
PLFEKH_04755,NP_461901.1
PLFEKH_04760,NP_461900.1
PLFEKH_04765,NP_461899.1
PLFEKH_04770,NP_461898.1
PLFEKH_04775,NP_461897.1
PLFEKH_04780,NP_461896.1
PLFEKH_04785,NP_461895.1
PLFEKH_04790,NP_462691.1
PLFEKH_04795,NP_461894.1
PLFEKH_04800,NP_461893.1
PLFEKH_04805,NP_461892.3
PLFEKH_04810,NP_461891.2
PLFEKH_04815,NP_461890.1
PLFEKH_04820,NP_461889.1
PLFEKH_04825,NP_461888.1
PLFEKH_04830,NP_461887.1
PLFEKH_04840,NP_461886.1
PLFEKH_04845,NP_461885.1
PLFEKH_04850,NP_461884.1
PLFEKH_04860,NP_461882.1
PLFEKH_04865,NP_461881.1
PLFEKH_04870,NP_461879.1
PLFEKH_04875,NP_461878.1
PLFEKH_04880,NP_461877.1
PLFEKH_04895,NP_461875.1
PLFEKH_04900,NP_461874.1
PLFEKH_04905,NP_461873.1
PLFEKH_04920,NP_461872.1
PLFEKH_04975,NP_461870.1
PLFEKH_04980,NP_461869.1
PLFEKH_04985,NP_461868.1
PLFEKH_04990,NP_461867.1
PLFEKH_05000,NP_461865.1
PLFEKH_05015,NP_461862.1
PLFEKH_05025,NP_461860.1
PLFEKH_05030,NP_461859.1
PLFEKH_05035,NP_461858.1
PLFEKH_05040,NP_461857.1
PLFEKH_05045,NP_461856.1
PLFEKH_05050,NP_461855.1
PLFEKH_05055,NP_461854.1
PLFEKH_05060,NP_461853.3
PLFEKH_05065,NP_461852.1
PLFEKH_05070,NP_461851.1
PLFEKH_05075,NP_461850.1
PLFEKH_05080,NP_461849.1
PLFEKH_05085,NP_461848.1
PLFEKH_05090,NP_461847.1
PLFEKH_05095,NP_461846.1
PLFEKH_05100,NP_461845.1
PLFEKH_05110,NP_461836.1
PLFEKH_05115,NP_461837.1
PLFEKH_05120,NP_461838.1
PLFEKH_05125,NP_461839.1
PLFEKH_05130,NP_461840.1
PLFEKH_05135,NP_461828.1
PLFEKH_05140,NP_461830.1
PLFEKH_05150,NP_461781.1
PLFEKH_05160,NP_461779.3
PLFEKH_05165,NP_461778.2
PLFEKH_05170,NP_461777.1
PLFEKH_05175,NP_461776.1
PLFEKH_05180,NP_461775.1
PLFEKH_05185,NP_461774.1
PLFEKH_05225,NP_461766.1
PLFEKH_05240,NP_461929.1
PLFEKH_05245,NP_461764.1
PLFEKH_05250,NP_461763.1
PLFEKH_05255,NP_461762.1
PLFEKH_05260,NP_461761.1
PLFEKH_05265,NP_461760.1
PLFEKH_05270,NP_461759.3
PLFEKH_05280,NP_461757.1
PLFEKH_05285,NP_461756.1
PLFEKH_05290,NP_461755.1
PLFEKH_05295,NP_461754.1
PLFEKH_05300,NP_461753.1
PLFEKH_05305,NP_461752.1
PLFEKH_05310,NP_461751.1
PLFEKH_05315,NP_461750.1
PLFEKH_05320,NP_461749.1
PLFEKH_05325,NP_461748.1
PLFEKH_05330,NP_461747.1
PLFEKH_05365,NP_461745.1
PLFEKH_05370,NP_461744.1
PLFEKH_05380,NP_461743.1
PLFEKH_05395,NP_461739.1
PLFEKH_05425,NP_461737.1
PLFEKH_05430,NP_461736.1
PLFEKH_05435,NP_461735.1
PLFEKH_05440,NP_461734.1
PLFEKH_05445,NP_461733.1
PLFEKH_05450,NP_461732.1
PLFEKH_05455,NP_461731.1
PLFEKH_05460,NP_461728.1
PLFEKH_05465,NP_461727.1
PLFEKH_05470,NP_461726.1
PLFEKH_05475,NP_461725.1
PLFEKH_05480,NP_461724.1
PLFEKH_05485,NP_461723.1
PLFEKH_05490,NP_461722.1
PLFEKH_05495,NP_461721.1
PLFEKH_05500,NP_461720.1
PLFEKH_05505,NP_461719.1
PLFEKH_05520,NP_461716.1
PLFEKH_05525,NP_461715.3
PLFEKH_05585,NP_490551.1
PLFEKH_05695,NP_461618.1
PLFEKH_05700,NP_461617.1
PLFEKH_05705,NP_461616.1
PLFEKH_05710,NP_461615.1
PLFEKH_05715,NP_461614.1
PLFEKH_05720,NP_461613.1
PLFEKH_05725,NP_461611.1
PLFEKH_05730,NP_461609.3
PLFEKH_05735,NP_461608.1
PLFEKH_05740,NP_461607.1
PLFEKH_05745,NP_461606.1
PLFEKH_05750,NP_461605.1
PLFEKH_05755,NP_461604.1
PLFEKH_05760,NP_461603.1
PLFEKH_05770,NP_461602.1
PLFEKH_05775,NP_461601.1
PLFEKH_05785,NP_461600.1
PLFEKH_05790,NP_461599.1
PLFEKH_05795,NP_461597.1
PLFEKH_05805,NP_461595.1
PLFEKH_05815,NP_461594.1
PLFEKH_05820,NP_461593.1
PLFEKH_05825,NP_461592.1
PLFEKH_05835,NP_461591.1
PLFEKH_05870,NP_461589.1
PLFEKH_05875,NP_461588.1
PLFEKH_05880,NP_461587.1
PLFEKH_05890,NP_461586.1
PLFEKH_05895,NP_461585.1
PLFEKH_05900,NP_461584.1
PLFEKH_05905,NP_461583.1
PLFEKH_05910,NP_461582.1
PLFEKH_05915,NP_461581.1
PLFEKH_05920,NP_461580.1
PLFEKH_05925,NP_461579.1
PLFEKH_05935,NP_461578.1
PLFEKH_05940,NP_461577.1
PLFEKH_05945,NP_461576.1
PLFEKH_05955,NP_461574.1
PLFEKH_05960,NP_461573.1
PLFEKH_05970,NP_461572.1
PLFEKH_05975,NP_461518.1
PLFEKH_05980,NP_461517.1
PLFEKH_05985,NP_461516.1
PLFEKH_05990,NP_461515.1
PLFEKH_05995,NP_461514.1
PLFEKH_06000,NP_461513.1
PLFEKH_06005,NP_461512.1
PLFEKH_06020,NP_461511.1
PLFEKH_06030,NP_461504.1
PLFEKH_06035,NP_461503.1
PLFEKH_06040,NP_461502.1
PLFEKH_06045,NP_461500.1
PLFEKH_06060,NP_461499.1
PLFEKH_06065,NP_461498.1
PLFEKH_06070,NP_461497.1
